num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,2.69,5.03,41.25,0.9
2,200,300,200,200,2,2.87,5.03,38.66,0.85
2,200,300,200,200,3,2.8,5.03,39.63,0.87
2,200,300,300,200,1,4.04,5.09,41.2,0.9
2,200,300,300,200,2,4.11,5.09,40.5,0.89
2,200,300,300,200,3,4.28,5.09,38.89,0.85
2,200,400,200,200,1,2.09,5.09,70.79,1.54
2,200,400,200,200,2,3.32,5.09,44.56,0.97
2,200,400,200,200,3,2.99,5.09,49.48,1.08
2,200,400,300,200,1,4.86,5.16,45.66,1.0
2,200,400,300,200,2,4.82,5.16,46.04,1.01
2,200,400,300,200,3,4.96,5.16,44.74,0.98
4,200,300,200,200,1,3.87,4.84,28.67,0.63
4,200,300,200,200,2,4.22,4.84,26.3,0.58
4,200,300,200,200,3,3.85,4.84,28.82,0.63
4,200,300,300,200,1,5.12,4.96,32.51,0.71
4,200,300,300,200,2,5.47,4.96,30.43,0.67
4,200,300,300,200,3,5.28,4.96,31.53,0.69
4,200,400,200,200,1,4.89,4.9,30.26,0.66
4,200,400,200,200,2,4.51,4.9,32.81,0.72
4,200,400,200,200,3,5.3,4.9,27.92,0.61
4,200,400,300,200,1,5.72,5.03,38.8,0.85
4,200,400,300,200,2,5.95,5.03,37.3,0.82
4,200,400,300,200,3,6.2,5.03,35.8,0.78
