num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,2,256,512,512,512,1,5.21,2.7,145.66,6.63,0.6793519999999997
2,2,256,512,512,512,2,5.2,2.7,145.94,6.64,0.6847889999999999
2,2,256,512,512,512,3,5.2,2.7,145.94,6.64,0.6755510000000003
2,2,256,512,512,512,4,5.2,2.7,145.94,6.64,0.6723820000000003
2,4,256,512,512,512,1,6.17,3.38,156.54,5.6,1.391785
2,4,256,512,512,512,2,6.18,3.38,156.29,5.59,1.3664320000000012
2,4,256,512,512,512,3,6.17,3.38,156.54,5.6,1.3537920000000003
2,4,256,512,512,512,4,6.17,3.38,156.54,5.6,1.3485750000000007
2,8,256,512,512,512,1,10.39,5.39,152.72,3.32,2.8029830000000002
2,8,256,512,512,512,2,10.45,5.39,151.84,3.31,2.7987559999999996
2,8,256,512,512,512,3,10.53,5.39,150.69,3.28,2.7810039999999994
2,8,256,512,512,512,4,10.46,5.39,151.7,3.3,2.7962759999999998
