num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,256,512,512,512,1,12.37,1.49,74.79,3.12,2.257816
4,2,256,512,512,512,2,12.43,1.49,74.43,3.11,0.47656500000000024
4,2,256,512,512,512,3,12.3,1.49,75.22,3.14,1.792701000000001
4,2,256,512,512,512,4,12.23,1.49,75.65,3.16,0.8383819999999997
4,4,256,512,512,512,1,13.31,1.9,89.78,2.9,2.3100549999999997
4,4,256,512,512,512,2,12.0,1.9,99.58,3.22,0.9977079999999997
4,4,256,512,512,512,3,11.96,1.9,99.91,3.23,1.235155
4,4,256,512,512,512,4,12.03,1.9,99.33,3.21,1.0715389999999996
4,8,256,512,512,512,1,14.35,2.7,120.88,2.69,2.8853979999999986
4,8,256,512,512,512,2,14.05,2.7,123.46,2.75,2.0077470000000006
4,8,256,512,512,512,3,14.13,2.7,122.76,2.73,2.2182459999999993
4,8,256,512,512,512,4,14.4,2.7,120.46,2.68,2.2320080000000004
