space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,4,32,32,256,512,512,512,1,6.19,2.71,122.6,5.58
2,4,32,32,256,512,512,512,2,6.2,2.71,122.4,5.57
2,4,32,32,256,512,512,512,3,6.21,2.71,122.21,5.56
2,4,32,64,256,512,512,512,1,6.16,2.71,123.2,5.6
2,4,32,64,256,512,512,512,2,6.18,2.71,122.8,5.59
2,4,32,64,256,512,512,512,3,6.19,2.71,122.6,5.58
2,4,64,32,256,512,512,512,1,5.97,2.71,127.12,5.78
2,4,64,32,256,512,512,512,2,5.98,2.71,126.91,5.77
2,4,64,32,256,512,512,512,3,5.99,2.71,126.69,5.76
2,4,64,64,256,512,512,512,1,6.28,2.71,120.84,5.5
2,4,64,64,256,512,512,512,2,6.24,2.71,121.62,5.53
2,4,64,64,256,512,512,512,3,6.2,2.71,122.4,5.57
2,4,64,96,256,512,512,512,1,8.59,2.71,88.35,4.02
2,4,64,96,256,512,512,512,2,8.6,2.71,88.25,4.02
2,4,64,96,256,512,512,512,3,8.62,2.71,88.04,4.01
2,4,96,64,256,512,512,512,1,8.59,2.71,88.35,4.02
2,4,96,64,256,512,512,512,2,8.64,2.71,87.84,4.0
2,4,96,64,256,512,512,512,3,8.65,2.71,87.74,3.99
2,4,96,96,256,512,512,512,1,9.84,2.71,77.13,3.51
2,4,96,96,256,512,512,512,2,9.83,2.71,77.2,3.51
2,4,96,96,256,512,512,512,3,9.84,2.71,77.13,3.51
2,8,32,32,256,512,512,512,1,4.97,2.71,152.69,6.95
2,8,32,32,256,512,512,512,2,4.98,2.71,152.39,6.93
2,8,32,32,256,512,512,512,3,4.94,2.71,153.62,6.99
2,8,32,64,256,512,512,512,1,4.86,2.71,156.15,7.1
2,8,32,64,256,512,512,512,2,4.84,2.71,156.8,7.13
2,8,32,64,256,512,512,512,3,4.89,2.71,155.19,7.06
2,8,64,32,256,512,512,512,1,4.76,2.71,159.43,7.25
2,8,64,32,256,512,512,512,2,4.7,2.71,161.47,7.34
2,8,64,32,256,512,512,512,3,4.72,2.71,160.78,7.31
2,8,64,64,256,512,512,512,1,5.01,2.71,151.48,6.89
2,8,64,64,256,512,512,512,2,5.04,2.71,150.57,6.85
2,8,64,64,256,512,512,512,3,5.0,2.71,151.78,6.9
2,8,64,96,256,512,512,512,1,7.99,2.71,94.98,4.32
2,8,64,96,256,512,512,512,2,7.99,2.71,94.98,4.32
2,8,64,96,256,512,512,512,3,7.97,2.71,95.22,4.33
2,8,96,64,256,512,512,512,1,7.96,2.71,95.34,4.34
2,8,96,64,256,512,512,512,2,8.01,2.71,94.74,4.31
2,8,96,64,256,512,512,512,3,7.87,2.71,96.43,4.39
2,8,96,96,256,512,512,512,1,9.58,2.71,79.22,3.61
2,8,96,96,256,512,512,512,2,9.61,2.71,78.97,3.59
2,8,96,96,256,512,512,512,3,9.57,2.71,79.3,3.61
2,16,32,32,256,512,512,512,1,4.49,2.71,169.02,7.69
2,16,32,32,256,512,512,512,2,4.43,2.71,171.31,7.79
2,16,32,32,256,512,512,512,3,4.44,2.71,170.92,7.77
2,16,32,64,256,512,512,512,1,4.28,2.71,177.31,8.06
2,16,32,64,256,512,512,512,2,4.28,2.71,177.31,8.06
2,16,32,64,256,512,512,512,3,4.24,2.71,178.98,8.14
2,16,64,32,256,512,512,512,1,4.16,2.71,182.42,8.3
2,16,64,32,256,512,512,512,2,4.2,2.71,180.69,8.22
2,16,64,32,256,512,512,512,3,4.16,2.71,182.42,8.3
2,16,64,64,256,512,512,512,1,4.33,2.71,175.26,7.97
2,16,64,64,256,512,512,512,2,4.34,2.71,174.86,7.95
2,16,64,64,256,512,512,512,3,4.33,2.71,175.26,7.97
2,16,64,96,256,512,512,512,1,7.48,2.71,101.46,4.62
2,16,64,96,256,512,512,512,2,7.51,2.71,101.05,4.6
2,16,64,96,256,512,512,512,3,7.49,2.71,101.32,4.61
2,16,96,64,256,512,512,512,1,7.41,2.71,102.42,4.66
2,16,96,64,256,512,512,512,2,7.5,2.71,101.19,4.6
2,16,96,64,256,512,512,512,3,7.33,2.71,103.53,4.71
2,16,96,96,256,512,512,512,1,9.45,2.71,80.31,3.66
2,16,96,96,256,512,512,512,2,9.42,2.71,80.56,3.67
2,16,96,96,256,512,512,512,3,9.42,2.71,80.56,3.67
2,32,32,32,256,512,512,512,1,4.1,2.71,185.09,8.42
2,32,32,32,256,512,512,512,2,4.13,2.71,183.75,8.36
2,32,32,32,256,512,512,512,3,4.12,2.71,184.2,8.38
2,32,32,64,256,512,512,512,1,3.95,2.71,192.12,8.74
2,32,32,64,256,512,512,512,2,3.99,2.71,190.2,8.65
2,32,32,64,256,512,512,512,3,3.95,2.71,192.12,8.74
2,32,64,32,256,512,512,512,1,3.87,2.71,196.09,8.92
2,32,64,32,256,512,512,512,2,3.89,2.71,195.09,8.87
2,32,64,32,256,512,512,512,3,3.88,2.71,195.59,8.9
2,32,64,64,256,512,512,512,1,4.29,2.71,176.9,8.05
2,32,64,64,256,512,512,512,2,4.33,2.71,175.26,7.97
2,32,64,64,256,512,512,512,3,4.34,2.71,174.86,7.95
2,32,64,96,256,512,512,512,1,7.06,2.71,107.49,4.89
2,32,64,96,256,512,512,512,2,7.08,2.71,107.19,4.88
2,32,64,96,256,512,512,512,3,7.06,2.71,107.49,4.89
2,32,96,64,256,512,512,512,1,6.9,2.71,109.99,5.0
2,32,96,64,256,512,512,512,2,7.04,2.71,107.8,4.9
2,32,96,64,256,512,512,512,3,7.01,2.71,108.26,4.93
2,32,96,96,256,512,512,512,1,9.18,2.71,82.67,3.76
2,32,96,96,256,512,512,512,2,9.24,2.71,82.13,3.74
2,32,96,96,256,512,512,512,3,9.22,2.71,82.31,3.75
4,4,32,32,256,512,512,512,1,8.81,3.41,109.63,3.92
4,4,32,32,256,512,512,512,2,8.8,3.41,109.76,3.92
4,4,32,32,256,512,512,512,3,8.73,3.41,110.64,3.96
4,4,32,64,256,512,512,512,1,8.65,3.41,111.66,3.99
4,4,32,64,256,512,512,512,2,8.64,3.41,111.79,4.0
4,4,32,64,256,512,512,512,3,8.7,3.41,111.02,3.97
4,4,64,32,256,512,512,512,1,8.49,3.41,113.77,4.07
4,4,64,32,256,512,512,512,2,8.42,3.41,114.71,4.1
4,4,64,32,256,512,512,512,3,8.4,3.41,114.98,4.11
4,4,64,64,256,512,512,512,1,8.36,3.41,115.53,4.13
4,4,64,64,256,512,512,512,2,8.46,3.41,114.17,4.08
4,4,64,64,256,512,512,512,3,8.42,3.41,114.71,4.1
4,4,64,128,256,512,512,512,1,10.81,3.41,89.35,3.2
4,4,64,128,256,512,512,512,2,10.78,3.41,89.6,3.2
4,4,64,128,256,512,512,512,3,10.76,3.41,89.77,3.21
4,4,128,64,256,512,512,512,1,10.81,3.41,89.35,3.2
4,4,128,64,256,512,512,512,2,10.81,3.41,89.35,3.2
4,4,128,64,256,512,512,512,3,10.74,3.41,89.93,3.22
4,4,128,128,256,512,512,512,1,10.71,3.41,90.19,3.23
4,4,128,128,256,512,512,512,2,10.77,3.41,89.68,3.21
4,4,128,128,256,512,512,512,3,10.78,3.41,89.6,3.2
4,8,32,32,256,512,512,512,1,8.0,3.41,120.73,4.32
4,8,32,32,256,512,512,512,2,8.02,3.41,120.43,4.31
4,8,32,32,256,512,512,512,3,7.98,3.41,121.04,4.33
4,8,32,64,256,512,512,512,1,7.73,3.41,124.95,4.47
4,8,32,64,256,512,512,512,2,7.73,3.41,124.95,4.47
4,8,32,64,256,512,512,512,3,7.73,3.41,124.95,4.47
4,8,64,32,256,512,512,512,1,7.69,3.41,125.6,4.49
4,8,64,32,256,512,512,512,2,7.71,3.41,125.27,4.48
4,8,64,32,256,512,512,512,3,7.58,3.41,127.42,4.56
4,8,64,64,256,512,512,512,1,7.59,3.41,127.26,4.55
4,8,64,64,256,512,512,512,2,7.57,3.41,127.59,4.56
4,8,64,64,256,512,512,512,3,7.54,3.41,128.1,4.58
4,8,64,128,256,512,512,512,1,10.63,3.41,90.86,3.25
4,8,64,128,256,512,512,512,2,10.72,3.41,90.1,3.22
4,8,64,128,256,512,512,512,3,10.62,3.41,90.95,3.25
4,8,128,64,256,512,512,512,1,10.59,3.41,91.21,3.26
4,8,128,64,256,512,512,512,2,10.65,3.41,90.69,3.24
4,8,128,64,256,512,512,512,3,10.67,3.41,90.52,3.24
4,8,128,128,256,512,512,512,1,10.75,3.41,89.85,3.21
4,8,128,128,256,512,512,512,2,10.69,3.41,90.35,3.23
4,8,128,128,256,512,512,512,3,10.69,3.41,90.35,3.23
4,16,32,32,256,512,512,512,1,7.28,3.41,132.67,4.74
4,16,32,32,256,512,512,512,2,7.62,3.41,126.75,4.53
4,16,32,32,256,512,512,512,3,7.59,3.41,127.26,4.55
4,16,32,64,256,512,512,512,1,7.3,3.41,132.31,4.73
4,16,32,64,256,512,512,512,2,7.33,3.41,131.77,4.71
4,16,32,64,256,512,512,512,3,7.29,3.41,132.49,4.74
4,16,64,32,256,512,512,512,1,7.21,3.41,133.96,4.79
4,16,64,32,256,512,512,512,2,7.23,3.41,133.59,4.78
4,16,64,32,256,512,512,512,3,7.18,3.41,134.52,4.81
4,16,64,64,256,512,512,512,1,7.11,3.41,135.85,4.86
4,16,64,64,256,512,512,512,2,7.06,3.41,136.81,4.89
4,16,64,64,256,512,512,512,3,7.02,3.41,137.59,4.92
4,16,64,128,256,512,512,512,1,10.44,3.41,92.52,3.31
4,16,64,128,256,512,512,512,2,10.36,3.41,93.23,3.33
4,16,64,128,256,512,512,512,3,10.39,3.41,92.96,3.32
4,16,128,64,256,512,512,512,1,10.4,3.41,92.87,3.32
4,16,128,64,256,512,512,512,2,10.34,3.41,93.41,3.34
4,16,128,64,256,512,512,512,3,10.33,3.41,93.5,3.34
4,16,128,128,256,512,512,512,1,10.52,3.41,91.81,3.28
4,16,128,128,256,512,512,512,2,10.51,3.41,91.9,3.29
4,16,128,128,256,512,512,512,3,10.53,3.41,91.73,3.28
4,32,32,32,256,512,512,512,1,7.52,3.41,128.44,4.59
4,32,32,32,256,512,512,512,2,7.51,3.41,128.61,4.6
4,32,32,32,256,512,512,512,3,7.54,3.41,128.1,4.58
4,32,32,64,256,512,512,512,1,6.99,3.41,138.18,4.94
4,32,32,64,256,512,512,512,2,7.11,3.41,135.85,4.86
4,32,32,64,256,512,512,512,3,7.13,3.41,135.47,4.84
4,32,64,32,256,512,512,512,1,6.96,3.41,138.77,4.96
4,32,64,32,256,512,512,512,2,6.97,3.41,138.57,4.95
4,32,64,32,256,512,512,512,3,6.97,3.41,138.57,4.95
4,32,64,64,256,512,512,512,1,6.94,3.41,139.17,4.98
4,32,64,64,256,512,512,512,2,6.81,3.41,141.83,5.07
4,32,64,64,256,512,512,512,3,6.93,3.41,139.37,4.98
4,32,64,128,256,512,512,512,1,10.08,3.41,95.82,3.43
4,32,64,128,256,512,512,512,2,10.06,3.41,96.01,3.43
4,32,64,128,256,512,512,512,3,10.12,3.41,95.44,3.41
4,32,128,64,256,512,512,512,1,9.93,3.41,97.27,3.48
4,32,128,64,256,512,512,512,2,10.0,3.41,96.59,3.45
4,32,128,64,256,512,512,512,3,10.06,3.41,96.01,3.43
4,32,128,128,256,512,512,512,1,10.46,3.41,92.34,3.3
4,32,128,128,256,512,512,512,2,10.45,3.41,92.43,3.31
4,32,128,128,256,512,512,512,3,10.43,3.41,92.61,3.31
