num_ranks,space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,4,32,32,256,256,256,256,1,0.57,2.64,166.42,7.57,0.06870899999999999
4,2,4,32,32,256,256,256,256,2,0.55,2.64,172.47,7.84,0.047257999999999994
4,2,4,32,32,256,512,256,256,1,1.03,2.66,184.2,8.38,0.12480399999999997
4,2,4,32,32,256,512,256,256,2,1.04,2.66,182.42,8.3,0.176389
4,2,4,32,32,256,256,512,256,1,1.07,2.66,177.31,8.06,0.10450000000000002
4,2,4,32,32,256,256,512,256,2,1.14,2.66,166.42,7.57,0.13064199999999998
4,2,4,32,32,256,512,512,512,1,3.94,2.69,192.61,8.76,0.320241
4,2,4,32,32,256,512,512,512,2,3.95,2.69,192.12,8.74,0.38160400000000005
4,2,4,32,32,512,256,256,256,1,1.11,2.65,170.59,7.76,0.21839800000000015
4,2,4,32,32,512,256,256,256,2,1.1,2.65,172.14,7.83,0.18327099999999996
4,2,4,32,64,256,256,256,256,1,0.57,2.64,166.42,7.57,0.087707
4,2,4,32,64,256,256,256,256,2,0.57,2.64,166.42,7.57,0.061389000000000006
4,2,4,32,64,256,512,256,256,1,1.04,2.66,182.42,8.3,0.11891899999999998
4,2,4,32,64,256,512,256,256,2,1.02,2.66,186.0,8.46,0.14894899999999997
4,2,4,32,64,256,256,512,256,1,1.04,2.66,182.42,8.3,0.09084299999999997
4,2,4,32,64,256,256,512,256,2,1.04,2.66,182.42,8.3,0.10556199999999995
4,2,4,32,64,256,512,512,512,1,3.81,2.69,199.18,9.06,0.360728
4,2,4,32,64,256,512,512,512,2,3.67,2.69,206.78,9.4,0.32057399999999997
4,2,4,32,64,512,256,256,256,1,1.11,2.65,170.59,7.76,0.14395799999999997
4,2,4,32,64,512,256,256,256,2,1.09,2.65,173.72,7.9,0.16797900000000002
4,2,4,64,32,256,256,256,256,1,0.54,2.64,175.67,7.99,0.09576799999999998
4,2,4,64,32,256,256,256,256,2,0.58,2.64,163.55,7.44,0.12192899999999997
4,2,4,64,32,256,512,256,256,1,1.04,2.66,182.42,8.3,0.11514199999999995
4,2,4,64,32,256,512,256,256,2,1.03,2.66,184.2,8.38,0.131426
4,2,4,64,32,256,256,512,256,1,1.05,2.66,180.69,8.22,0.13974599999999998
4,2,4,64,32,256,256,512,256,2,1.05,2.66,180.69,8.22,0.10966799999999996
4,2,4,64,32,256,512,512,512,1,3.63,2.69,209.06,9.51,0.336359
4,2,4,64,32,256,512,512,512,2,3.71,2.69,204.55,9.3,0.3671049999999999
4,2,4,64,32,512,256,256,256,1,1.07,2.65,176.97,8.05,0.23403599999999994
4,2,4,64,32,512,256,256,256,2,1.09,2.65,173.72,7.9,0.14462899999999998
4,2,4,64,64,256,256,256,256,1,0.53,2.64,178.98,8.14,0.08642299999999999
4,2,4,64,64,256,256,256,256,2,0.52,2.64,182.42,8.3,0.08295999999999998
4,2,4,64,64,256,512,256,256,1,0.96,2.66,197.63,8.99,0.11261200000000003
4,2,4,64,64,256,512,256,256,2,0.98,2.66,193.59,8.8,0.15563400000000002
4,2,4,64,64,256,256,512,256,1,1.0,2.66,189.72,8.63,0.10579100000000001
4,2,4,64,64,256,256,512,256,2,1.02,2.66,186.0,8.46,0.15019
4,2,4,64,64,256,512,512,512,1,4.75,2.69,159.77,7.27,0.38903299999999985
4,2,4,64,64,256,512,512,512,2,4.64,2.69,163.55,7.44,0.35463300000000014
4,2,4,64,64,512,256,256,256,1,1.03,2.65,183.84,8.36,0.140073
4,2,4,64,64,512,256,256,256,2,1.03,2.65,183.84,8.36,0.16569499999999995
4,2,4,64,96,256,256,256,256,1,0.53,2.64,178.98,8.14,0.07748799999999999
4,2,4,64,96,256,256,256,256,2,0.53,2.64,178.98,8.14,0.07633600000000003
4,2,4,64,96,256,512,256,256,1,0.98,2.66,193.59,8.8,0.13932600000000006
4,2,4,64,96,256,512,256,256,2,0.99,2.66,191.64,8.72,0.10268699999999999
4,2,4,64,96,256,256,512,256,1,1.02,2.66,186.0,8.46,0.13925799999999994
4,2,4,64,96,256,256,512,256,2,1.01,2.66,187.84,8.54,0.132728
4,2,4,64,96,256,512,512,512,1,5.19,2.69,146.22,6.65,0.48758799999999997
4,2,4,64,96,256,512,512,512,2,5.19,2.69,146.22,6.65,0.27976399999999996
4,2,4,64,96,512,256,256,256,1,1.05,2.65,180.34,8.2,0.128403
4,2,4,64,96,512,256,256,256,2,1.04,2.65,182.07,8.28,0.18120599999999987
4,2,4,96,64,256,256,256,256,1,0.53,2.64,178.98,8.14,0.08988999999999998
4,2,4,96,64,256,256,256,256,2,0.54,2.64,175.67,7.99,0.08816500000000001
4,2,4,96,64,256,512,256,256,1,1.0,2.66,189.72,8.63,0.17264500000000002
4,2,4,96,64,256,512,256,256,2,0.99,2.66,191.64,8.72,0.10064400000000001
4,2,4,96,64,256,256,512,256,1,1.03,2.66,184.2,8.38,0.13528
4,2,4,96,64,256,256,512,256,2,1.04,2.66,182.42,8.3,0.14516099999999998
4,2,4,96,64,256,512,512,512,1,5.29,2.69,143.46,6.53,0.499392
4,2,4,96,64,256,512,512,512,2,5.24,2.69,144.83,6.59,0.30108799999999986
4,2,4,96,64,512,256,256,256,1,1.05,2.65,180.34,8.2,0.17292300000000008
4,2,4,96,64,512,256,256,256,2,1.04,2.65,182.07,8.28,0.195274
4,2,4,96,96,256,256,256,256,1,0.59,2.64,160.78,7.31,0.076188
4,2,4,96,96,256,256,256,256,2,0.59,2.64,160.78,7.31,0.10191000000000003
4,2,4,96,96,256,512,256,256,1,1.15,2.66,164.98,7.5,0.12583000000000003
