space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,4,32,32,256,256,256,256,1,1.02,2.68,93.0,4.23
2,4,32,32,256,256,256,256,2,1.03,2.68,92.1,4.19
2,4,32,32,256,512,256,256,1,2.12,2.69,89.49,4.07
2,4,32,32,256,512,256,256,2,2.12,2.69,89.49,4.07
2,4,32,32,256,256,512,256,1,1.99,2.69,95.34,4.34
2,4,32,32,256,256,512,256,2,2.0,2.69,94.86,4.32
2,4,32,32,256,512,512,512,1,7.5,2.71,101.19,4.6
2,4,32,32,256,512,512,512,2,7.51,2.71,101.05,4.6
2,4,32,32,512,256,256,256,1,2.03,2.69,93.28,4.24
2,4,32,32,512,256,256,256,2,2.04,2.69,92.82,4.22
2,4,32,64,256,256,256,256,1,0.96,2.68,98.82,4.5
2,4,32,64,256,256,256,256,2,0.96,2.68,98.82,4.5
2,4,32,64,256,512,256,256,1,1.9,2.69,99.86,4.54
2,4,32,64,256,512,256,256,2,1.91,2.69,99.33,4.52
2,4,32,64,256,256,512,256,1,1.91,2.69,99.33,4.52
2,4,32,64,256,256,512,256,2,1.91,2.69,99.33,4.52
2,4,32,64,256,512,512,512,1,7.12,2.71,106.59,4.85
2,4,32,64,256,512,512,512,2,7.13,2.71,106.44,4.84
2,4,32,64,512,256,256,256,1,1.93,2.69,98.11,4.46
2,4,32,64,512,256,256,256,2,1.94,2.69,97.61,4.44
2,4,64,32,256,256,256,256,1,1.01,2.68,93.92,4.27
2,4,64,32,256,256,256,256,2,1.01,2.68,93.92,4.27
2,4,64,32,256,512,256,256,1,2.04,2.69,93.0,4.23
2,4,64,32,256,512,256,256,2,2.01,2.69,94.39,4.3
2,4,64,32,256,256,512,256,1,1.93,2.69,98.3,4.47
2,4,64,32,256,256,512,256,2,1.93,2.69,98.3,4.47
2,4,64,32,256,512,512,512,1,7.31,2.71,103.82,4.72
2,4,64,32,256,512,512,512,2,7.32,2.71,103.68,4.72
2,4,64,32,512,256,256,256,1,2.01,2.69,94.21,4.29
2,4,64,32,512,256,256,256,2,1.98,2.69,95.64,4.35
2,4,64,64,256,256,256,256,1,0.91,2.68,104.24,4.74
