num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,1.3,5.16,85.35,1.86
2,200,300,200,200,3,1.34,5.16,82.8,1.8
2,200,300,300,200,1,1.81,5.22,91.95,2.0
2,200,300,300,200,2,1.76,5.22,94.57,2.06
2,200,300,300,200,3,1.89,5.22,88.06,1.92
2,200,400,200,200,1,1.88,5.19,78.69,1.72
2,200,400,200,200,2,1.8,5.19,82.19,1.79
2,200,400,200,200,3,1.8,5.19,82.19,1.79
2,200,400,300,200,1,2.5,5.26,88.77,1.93
2,200,400,300,200,2,2.55,5.26,87.03,1.9
2,200,400,300,200,3,2.57,5.26,86.35,1.88
