num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,1.07,2.65,49.6,2.26
2,200,300,200,200,2,1.03,2.65,51.52,2.35
2,200,300,200,200,3,1.03,2.65,51.52,2.35
2,200,300,300,200,1,1.56,2.66,51.03,2.32
2,200,300,300,200,2,1.65,2.66,48.24,2.2
2,200,300,300,200,3,1.71,2.66,46.55,2.12
2,200,400,200,200,1,0.84,2.66,84.23,3.83
2,200,400,200,200,2,0.88,2.66,80.4,3.66
2,200,400,200,200,3,1.33,2.66,53.2,2.42
2,200,400,300,200,1,1.39,2.67,76.36,3.48
2,200,400,300,200,2,2.01,2.67,52.8,2.41
2,200,400,300,200,3,1.89,2.67,56.16,2.56
