num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,1.06,2.65,50.07,2.28
2,200,300,200,200,2,0.99,2.65,53.6,2.44
2,200,300,200,200,3,1.07,2.65,49.6,2.26
2,200,300,300,200,1,1.55,2.66,51.36,2.34
2,200,300,300,200,2,1.61,2.66,49.44,2.25
2,200,300,300,200,3,1.59,2.66,50.07,2.28
2,200,400,200,200,1,1.31,2.66,54.01,2.46
2,200,400,200,200,2,1.28,2.66,55.28,2.52
2,200,400,200,200,3,0.96,2.66,73.7,3.36
2,200,400,300,200,1,1.21,2.67,87.71,3.99
2,200,400,300,200,2,1.93,2.67,54.99,2.5
2,200,400,300,200,3,1.92,2.67,55.28,2.52
