num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.85,5.03,130.54,2.84
2,200,300,200,200,2,0.85,5.03,130.54,2.84
2,200,300,200,200,3,0.85,5.03,130.54,2.84
2,200,300,300,200,1,1.27,5.09,131.05,2.85
2,200,300,300,200,2,1.27,5.09,131.05,2.85
2,200,300,300,200,3,1.28,5.09,130.03,2.83
2,200,400,200,200,1,1.01,5.09,146.48,3.19
2,200,400,200,200,2,1.02,5.09,145.04,3.16
2,200,400,200,200,3,1.01,5.09,146.48,3.19
2,200,400,300,200,1,1.58,5.16,140.45,3.06
2,200,400,300,200,2,1.57,5.16,141.35,3.08
2,200,400,300,200,3,1.57,5.16,141.35,3.08
