num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,1.46,5.16,76.0,1.66
2,200,300,200,200,3,1.35,5.16,82.19,1.79
2,200,300,300,200,1,1.86,5.22,89.48,1.95
2,200,300,300,200,2,1.9,5.22,87.6,1.91
2,200,300,300,200,3,2.34,5.22,71.13,1.55
2,200,400,200,200,1,1.89,5.19,78.28,1.71
2,200,400,200,200,2,1.9,5.19,77.87,1.7
2,200,400,200,200,3,1.93,5.19,76.66,1.67
2,200,400,300,200,1,2.98,5.26,74.47,1.62
2,200,400,300,200,2,2.96,5.26,74.97,1.63
2,200,400,300,200,3,3.08,5.26,72.05,1.57
