num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.71,5.03,156.28,3.4
2,200,300,200,200,2,0.7,5.03,158.51,3.45
2,200,300,200,200,3,0.71,5.03,156.28,3.4
2,200,300,300,200,1,1.03,5.09,161.59,3.52
2,200,300,300,200,2,1.02,5.09,163.17,3.55
2,200,300,300,200,3,1.03,5.09,161.59,3.52
2,200,400,200,200,1,0.84,5.09,176.12,3.83
2,200,400,200,200,2,0.84,5.09,176.12,3.83
2,200,400,200,200,3,0.84,5.09,176.12,3.83
2,200,400,300,200,1,1.23,5.16,180.41,3.93
2,200,400,300,200,2,1.23,5.16,180.41,3.93
2,200,400,300,200,3,1.23,5.16,180.41,3.93
