num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.91,5.16,121.93,2.66
2,200,300,200,200,3,0.92,5.16,120.6,2.63
2,200,300,300,200,1,1.32,5.22,126.09,2.75
2,200,300,300,200,2,1.32,5.22,126.09,2.75
2,200,300,300,200,3,1.31,5.22,127.05,2.77
2,200,400,200,200,1,1.23,5.19,120.28,2.62
2,200,400,200,200,2,1.23,5.19,120.28,2.62
2,200,400,200,200,3,1.24,5.19,119.31,2.6
2,200,400,300,200,1,1.85,5.26,119.95,2.61
2,200,400,300,200,2,1.85,5.26,119.95,2.61
2,200,400,300,200,3,1.85,5.26,119.95,2.61
