num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,200,300,200,200,1,0.5,3.27,135.08,4.83,0.06275
2,200,300,200,200,2,0.5,3.27,135.08,4.83,0.05862500000000001
2,200,300,200,200,3,0.5,3.27,135.08,4.83,0.06000799999999998
2,200,300,300,200,1,0.76,3.29,133.3,4.77,0.10187600000000002
2,200,300,300,200,2,0.75,3.29,135.08,4.83,0.10596000000000001
2,200,300,300,200,3,0.75,3.29,135.08,4.83,0.102773
2,200,400,200,200,1,0.65,3.29,138.54,4.95,0.067005
2,200,400,200,200,2,0.64,3.29,140.7,5.03,0.073263
2,200,400,200,200,3,0.64,3.29,140.7,5.03,0.071968
2,200,400,300,200,1,0.95,3.31,142.19,5.08,0.10641699999999998
2,200,400,300,200,2,0.95,3.31,142.19,5.08,0.097694
2,200,400,300,200,3,0.95,3.31,142.19,5.08,0.09923
