num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,200,300,200,200,1,0.51,3.27,132.43,4.73,0.12749299999999997
2,200,300,200,200,2,0.51,3.27,132.43,4.73,0.12716999999999995
2,200,300,200,200,3,0.51,3.27,132.43,4.73,0.126267
2,200,300,300,200,1,0.75,3.29,135.08,4.83,0.18137900000000007
2,200,300,300,200,2,0.75,3.29,135.08,4.83,0.18243599999999996
2,200,300,300,200,3,0.77,3.29,131.57,4.7,0.19495899999999988
2,200,400,200,200,1,0.64,3.29,140.7,5.03,0.11742200000000004
2,200,400,200,200,2,0.63,3.29,142.94,5.11,0.11366600000000004
2,200,400,200,200,3,0.63,3.29,142.94,5.11,0.12749999999999997
2,200,400,300,200,1,0.95,3.31,142.19,5.08,0.18962099999999982
2,200,400,300,200,2,0.95,3.31,142.19,5.08,0.18978600000000007
2,200,400,300,200,3,0.95,3.31,142.19,5.08,0.1742530000000001
