num_ranks,space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,4,32,32,256,256,256,256,1,0.58,2.64,163.55,7.44,0.129851
4,2,4,32,32,256,256,256,256,2,0.56,2.64,169.39,7.7,0.072723
4,2,4,32,32,256,512,256,256,1,1.03,2.66,184.2,8.38,0.08993899999999999
4,2,4,32,32,256,512,256,256,2,1.01,2.66,187.84,8.54,0.11210500000000002
4,2,4,32,32,256,256,512,256,1,1.1,2.66,172.47,7.84,0.12480599999999996
4,2,4,32,32,256,256,512,256,2,1.1,2.66,172.47,7.84,0.12073200000000005
4,2,4,32,32,256,512,512,512,1,3.93,2.69,193.1,8.78,0.6683379999999998
4,2,4,32,32,256,512,512,512,2,3.92,2.69,193.59,8.8,0.646285
4,2,4,32,32,512,256,256,256,1,1.1,2.65,172.14,7.83,0.09503899999999993
4,2,4,32,32,512,256,256,256,2,1.11,2.65,170.59,7.76,0.1108
4,2,4,32,64,256,256,256,256,1,0.56,2.64,169.39,7.7,0.055000000000000035
4,2,4,32,64,256,256,256,256,2,0.56,2.64,169.39,7.7,0.064583
4,2,4,32,64,256,512,256,256,1,1.05,2.66,180.69,8.22,0.09434600000000003
4,2,4,32,64,256,512,256,256,2,1.02,2.66,186.0,8.46,0.09335700000000005
4,2,4,32,64,256,256,512,256,1,1.04,2.66,182.42,8.3,0.09204
4,2,4,32,64,256,256,512,256,2,1.0,2.66,189.72,8.63,0.17757500000000007
4,2,4,32,64,256,512,512,512,1,3.8,2.69,199.71,9.08,0.5322190000000001
4,2,4,32,64,256,512,512,512,2,3.68,2.69,206.22,9.38,0.32486
4,2,4,32,64,512,256,256,256,1,1.09,2.65,173.72,7.9,0.164031
4,2,4,32,64,512,256,256,256,2,1.1,2.65,172.14,7.83,0.20126299999999978
4,2,4,64,32,256,256,256,256,1,0.56,2.64,169.39,7.7,0.12925100000000003
4,2,4,64,32,256,256,256,256,2,0.56,2.64,169.39,7.7,0.09514200000000003
4,2,4,64,32,256,512,256,256,1,1.03,2.66,184.2,8.38,0.090897
4,2,4,64,32,256,512,256,256,2,1.02,2.66,186.0,8.46,0.08854000000000001
4,2,4,64,32,256,256,512,256,1,1.03,2.66,184.2,8.38,0.11745799999999998
4,2,4,64,32,256,256,512,256,2,1.04,2.66,182.42,8.3,0.10806500000000001
4,2,4,64,32,256,512,512,512,1,3.7,2.69,205.1,9.33,0.5244489999999999
4,2,4,64,32,256,512,512,512,2,3.72,2.69,204.0,9.28,0.4694439999999998
4,2,4,64,32,512,256,256,256,1,1.09,2.65,173.72,7.9,0.14908399999999997
4,2,4,64,32,512,256,256,256,2,1.05,2.65,180.34,8.2,0.22109399999999993
4,2,4,64,64,256,256,256,256,1,0.54,2.64,175.67,7.99,0.07875999999999997
