num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,256,256,256,256,1,0.71,2.64,133.61,6.08,0.10842199999999992
4,2,256,256,256,256,2,0.72,2.64,131.75,5.99,0.11666700000000006
4,2,256,512,256,256,1,1.41,2.66,134.56,6.12,0.307924
4,2,256,512,256,256,2,1.38,2.66,137.48,6.25,0.18299500000000002
4,2,256,256,512,256,1,1.38,2.66,137.48,6.25,0.18611100000000005
4,2,256,256,512,256,2,1.41,2.66,134.56,6.12,0.15773399999999996
4,2,256,512,512,512,1,5.87,2.69,129.28,5.88,1.4082259999999995
4,2,256,512,512,512,2,5.38,2.69,141.06,6.42,0.6515869999999996
4,2,512,256,256,256,1,1.43,2.65,132.42,6.02,0.23049000000000036
4,2,512,256,256,256,2,1.43,2.65,132.42,6.02,0.2042970000000001
4,4,256,256,256,256,1,0.84,3.23,143.73,5.14,0.2350790000000001
4,4,256,256,256,256,2,0.84,3.23,143.73,5.14,0.17556099999999997
4,4,256,512,256,256,1,1.59,3.28,151.87,5.43,0.3416920000000004
4,4,256,512,256,256,2,1.59,3.28,151.87,5.43,0.33153199999999994
4,4,256,256,512,256,1,1.62,3.28,149.05,5.33,0.35478900000000013
4,4,256,256,512,256,2,1.62,3.28,149.05,5.33,0.39053700000000013
4,4,256,512,512,512,1,5.93,3.36,162.88,5.82,1.1158699999999995
4,4,256,512,512,512,2,5.91,3.36,163.43,5.84,0.8160000000000001
4,4,512,256,256,256,1,1.74,3.24,138.5,4.95,0.4506480000000002
4,4,512,256,256,256,2,1.64,3.24,146.95,5.25,0.40727900000000017
4,8,256,256,256,256,1,1.37,4.92,144.78,3.15,0.5199060000000003
4,8,256,256,256,256,2,1.37,4.92,144.78,3.15,0.5080169999999998
4,8,256,512,256,256,1,2.37,5.07,167.38,3.64,0.7287570000000001
4,8,256,512,256,256,2,2.37,5.07,167.38,3.64,0.7116219999999998
4,8,256,256,512,256,1,2.49,5.07,159.31,3.47,0.8276799999999994
4,8,256,256,512,256,2,2.51,5.07,158.05,3.44,0.7714759999999998
4,8,256,512,512,512,1,9.19,5.31,172.66,3.76,2.025553000000001
4,8,256,512,512,512,2,9.03,5.31,175.72,3.82,2.3831540000000007
4,8,512,256,256,256,1,2.73,4.93,145.03,3.16,1.0884090000000002
4,8,512,256,256,256,2,2.72,4.93,145.56,3.17,1.0919960000000006
