num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.4,2.65,132.66,6.03
2,200,300,200,200,2,0.4,2.65,132.66,6.03
2,200,300,200,200,3,0.4,2.65,132.66,6.03
2,200,300,300,200,1,0.59,2.66,134.91,6.14
2,200,300,300,200,2,0.6,2.66,132.67,6.03
2,200,300,300,200,3,0.59,2.66,134.91,6.14
2,200,400,200,200,1,0.52,2.66,136.07,6.19
2,200,400,200,200,2,0.52,2.66,136.07,6.19
2,200,400,200,200,3,0.52,2.66,136.07,6.19
2,200,400,300,200,1,0.78,2.67,136.07,6.19
2,200,400,300,200,2,0.77,2.67,137.83,6.27
2,200,400,300,200,3,0.78,2.67,136.07,6.19
