num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,2.19,5.03,50.67,1.11
2,200,300,200,200,2,2.89,5.03,38.4,0.84
2,200,300,200,200,3,2.85,5.03,38.94,0.85
2,200,300,300,200,1,4.25,5.09,39.16,0.86
2,200,300,300,200,2,4.14,5.09,40.21,0.88
2,200,300,300,200,3,4.4,5.09,37.83,0.83
2,200,400,200,200,1,2.56,5.09,57.79,1.26
2,200,400,200,200,2,3.19,5.09,46.38,1.01
2,200,400,200,200,3,3.15,5.09,46.97,1.03
2,200,400,300,200,1,4.88,5.16,45.48,0.99
2,200,400,300,200,2,4.64,5.16,47.83,1.04
2,200,400,300,200,3,4.83,5.16,45.95,1.0
