num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.96,3.31,70.36,2.52
2,200,300,200,200,3,0.93,3.31,72.62,2.6
2,200,300,300,200,1,1.42,3.33,71.35,2.55
2,200,300,300,200,2,1.46,3.33,69.39,2.48
2,200,300,300,200,3,1.35,3.33,75.04,2.68
2,200,400,200,200,1,1.36,3.32,66.22,2.37
2,200,400,200,200,2,1.19,3.32,75.68,2.71
2,200,400,200,200,3,1.27,3.32,70.91,2.54
2,200,400,300,200,1,1.8,3.34,75.05,2.68
2,200,400,300,200,2,1.95,3.34,69.27,2.48
2,200,400,300,200,3,1.55,3.34,87.15,3.12
