num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.9,2.65,58.96,2.68
2,200,300,200,200,2,0.91,2.65,58.32,2.66
2,200,300,200,200,3,0.91,2.65,58.32,2.66
2,200,300,300,200,1,1.35,2.66,58.96,2.68
2,200,300,300,200,2,1.34,2.66,59.4,2.7
2,200,300,300,200,3,1.34,2.66,59.4,2.7
2,200,400,200,200,1,1.03,2.66,68.7,3.13
2,200,400,200,200,2,1.04,2.66,68.04,3.1
2,200,400,200,200,3,1.03,2.66,68.7,3.13
2,200,400,300,200,1,1.54,2.67,68.92,3.14
2,200,400,300,200,2,1.53,2.67,69.37,3.16
2,200,400,300,200,3,1.54,2.67,68.92,3.14
