num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,2.13,5.03,52.1,1.14
2,200,300,200,200,2,2.15,5.03,51.61,1.13
2,200,300,200,200,3,2.18,5.03,50.9,1.11
2,200,300,300,200,1,2.99,5.09,55.67,1.22
2,200,300,300,200,2,2.9,5.09,57.39,1.25
2,200,300,300,200,3,2.96,5.09,56.23,1.23
2,200,400,200,200,1,2.35,5.09,62.96,1.37
2,200,400,200,200,2,2.32,5.09,63.77,1.39
2,200,400,200,200,3,2.33,5.09,63.5,1.39
2,200,400,300,200,1,3.24,5.16,68.49,1.49
2,200,400,300,200,2,3.17,5.16,70.01,1.53
2,200,400,300,200,3,3.27,5.16,67.87,1.48
