num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.77,3.31,87.71,3.14
2,200,300,200,200,3,0.76,3.31,88.87,3.18
2,200,300,300,200,1,1.14,3.33,88.87,3.18
2,200,300,300,200,2,1.14,3.33,88.87,3.18
2,200,300,300,200,3,1.14,3.33,88.87,3.18
2,200,400,200,200,1,1.01,3.32,89.16,3.19
2,200,400,200,200,2,1.01,3.32,89.16,3.19
2,200,400,200,200,3,1.02,3.32,88.29,3.16
2,200,400,300,200,1,1.52,3.34,88.87,3.18
2,200,400,300,200,2,1.53,3.34,88.29,3.16
2,200,400,300,200,3,1.53,3.34,88.29,3.16
