num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,200,300,200,200,1,0.44,3.27,153.5,5.49,0.060156
2,200,300,200,200,2,0.44,3.27,153.5,5.49,0.052875000000000005
2,200,300,200,200,3,0.44,3.27,153.5,5.49,0.054268999999999984
2,200,300,300,200,1,0.66,3.29,153.5,5.49,0.08022599999999995
2,200,300,300,200,2,0.67,3.29,151.2,5.4,0.08171899999999999
2,200,300,300,200,3,0.66,3.29,153.5,5.49,0.07837
2,200,400,200,200,1,0.57,3.29,157.98,5.65,0.06080199999999999
2,200,400,200,200,2,0.57,3.29,157.98,5.65,0.060237999999999986
2,200,400,200,200,3,0.57,3.29,157.98,5.65,0.053081999999999976
2,200,400,300,200,1,0.85,3.31,158.91,5.68,0.09008499999999998
2,200,400,300,200,2,0.86,3.31,157.07,5.61,0.08381200000000001
2,200,400,300,200,3,0.86,3.31,157.07,5.61,0.094338
