num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,256,256,512,256,2,1.34,2.66,141.58,6.44,0.18695000000000003
4,2,256,256,512,256,3,1.35,2.66,140.54,6.39,0.19412800000000008
4,2,256,256,512,512,1,2.85,2.67,133.14,6.06,0.5664929999999999
4,2,256,256,512,512,2,2.81,2.67,135.03,6.14,0.4341690000000001
4,2,256,256,512,512,3,2.83,2.67,134.08,6.1,0.5460130000000001
4,2,256,512,256,256,1,1.32,2.66,143.73,6.54,0.15308699999999997
4,2,256,512,256,256,2,1.33,2.66,142.65,6.49,0.17414900000000014
4,2,256,512,256,256,3,1.32,2.66,143.73,6.54,0.15729500000000007
4,2,256,512,256,512,1,2.65,2.67,143.19,6.51,0.30393800000000004
4,2,256,512,256,512,2,2.71,2.67,140.02,6.37,0.408705
4,2,256,512,256,512,3,2.64,2.67,143.73,6.54,0.27116700000000005
4,2,256,512,512,256,1,2.54,2.68,149.39,6.8,0.21898799999999993
4,2,256,512,512,256,2,2.55,2.68,148.8,6.77,0.23356200000000005
4,2,256,512,512,256,3,2.53,2.68,149.98,6.82,0.21208200000000024
4,2,256,512,512,512,1,5.36,2.69,141.58,6.44,0.5733360000000001
4,2,256,512,512,512,2,5.6,2.69,135.52,6.16,1.2718170000000006
4,2,256,512,512,512,3,5.27,2.69,144.0,6.55,0.5582660000000003
4,2,512,256,256,256,1,1.39,2.65,136.23,6.2,0.2292720000000003
4,2,512,256,256,256,2,1.4,2.65,135.25,6.15,0.22907899999999995
4,2,512,256,256,256,3,1.38,2.65,137.21,6.24,0.21313099999999988
4,2,512,256,256,512,1,2.72,2.66,139.23,6.33,0.3793430000000001
4,2,512,256,256,512,2,2.72,2.66,139.23,6.33,0.4084310000000003
4,2,512,256,256,512,3,2.71,2.66,139.74,6.36,0.36273799999999956
4,2,512,256,512,256,1,2.66,2.67,142.37,6.48,0.3436340000000001
4,2,512,256,512,256,2,2.69,2.67,140.78,6.4,0.341751
4,2,512,256,512,256,3,2.68,2.67,141.31,6.43,0.36857700000000015
4,2,512,256,512,512,1,5.64,2.68,134.29,6.11,1.1408439999999997
4,2,512,256,512,512,2,5.78,2.68,131.04,5.96,1.0620699999999996
4,2,512,256,512,512,3,5.74,2.68,131.95,6.0,1.1895570000000004
4,2,512,512,256,256,1,2.64,2.67,143.45,6.53,0.307332
4,2,512,512,256,256,2,2.64,2.67,143.45,6.53,0.34724099999999986
4,2,512,512,256,256,3,2.65,2.67,142.91,6.5,0.3065710000000001
4,2,512,512,256,512,1,5.46,2.68,138.72,6.31,0.8148420000000008
4,2,512,512,256,512,2,5.4,2.68,140.26,6.38,0.713515
4,2,512,512,256,512,3,5.29,2.68,143.18,6.51,0.6769209999999999
4,2,512,512,512,256,1,5.06,2.69,149.69,6.81,0.43395399999999995
4,2,512,512,512,256,2,5.07,2.69,149.39,6.8,0.44719700000000034
4,2,512,512,512,256,3,5.06,2.69,149.69,6.81,0.4772419999999998
4,2,512,512,512,512,1,10.57,2.7,143.31,6.52,1.4546340000000009
4,2,512,512,512,512,2,10.44,2.7,145.1,6.6,1.00313
4,2,512,512,512,512,3,10.5,2.7,144.27,6.56,1.1449209999999999
4,4,256,256,256,256,1,0.82,3.23,147.24,5.26,0.21251999999999982
4,4,256,256,256,256,2,0.81,3.23,149.05,5.33,0.19012699999999988
4,4,256,256,256,256,3,0.81,3.23,149.05,5.33,0.20567699999999997
4,4,256,256,256,512,1,1.78,3.26,135.66,4.85,0.551533
4,4,256,256,256,512,2,1.83,3.26,131.95,4.72,0.6238390000000003
4,4,256,256,256,512,3,1.78,3.26,135.66,4.85,0.6106390000000003
4,4,256,256,512,256,1,1.7,3.28,142.04,5.08,0.4891730000000001
4,4,256,256,512,256,2,1.72,3.28,140.39,5.02,0.5051090000000001
4,4,256,256,512,256,3,1.71,3.28,141.21,5.05,0.5067959999999998
4,4,256,256,512,512,1,3.4,3.31,142.04,5.08,0.8254900000000003
4,4,256,256,512,512,2,3.41,3.31,141.62,5.06,0.9198819999999999
4,4,256,256,512,512,3,3.4,3.31,142.04,5.08,0.9495709999999995
4,4,256,512,256,256,1,1.55,3.28,155.78,5.57,0.3245669999999999
4,4,256,512,256,256,2,1.6,3.28,150.92,5.39,0.37518800000000047
4,4,256,512,256,256,3,1.57,3.28,153.8,5.5,0.28782999999999986
4,4,256,512,256,512,1,3.23,3.31,149.51,5.34,0.8146929999999996
4,4,256,512,256,512,2,3.21,3.31,150.45,5.38,0.8482979999999999
4,4,256,512,256,512,3,3.19,3.31,151.39,5.41,0.6746090000000005
4,4,256,512,512,256,1,3.0,3.33,160.98,5.75,0.6136640000000002
4,4,256,512,512,256,2,3.05,3.33,158.34,5.66,0.758695
4,4,256,512,512,256,3,2.99,3.33,161.52,5.77,0.591075
4,4,256,512,512,512,1,5.93,3.36,162.88,5.82,1.0907580000000003
4,4,256,512,512,512,2,5.9,3.36,163.71,5.85,1.0786459999999998
4,4,256,512,512,512,3,5.91,3.36,163.43,5.84,1.0766850000000008
4,4,512,256,256,256,1,1.63,3.24,147.85,5.29,0.3990600000000001
4,4,512,256,256,256,2,1.62,3.24,148.76,5.32,0.39082600000000006
4,4,512,256,256,256,3,1.62,3.24,148.76,5.32,0.3950739999999999
4,4,512,256,256,512,1,3.57,3.26,135.01,4.83,1.128543000000001
4,4,512,256,256,512,2,3.63,3.26,132.78,4.75,1.1904799999999993
4,4,512,256,256,512,3,3.63,3.26,132.78,4.75,1.1121789999999998
4,4,512,256,512,256,1,3.4,3.29,141.76,5.07,0.9551280000000003
4,4,512,256,512,256,2,3.49,3.29,138.11,4.94,1.032026000000001
4,4,512,256,512,256,3,3.5,3.29,137.71,4.92,0.9344279999999998
4,4,512,256,512,512,1,6.81,3.31,141.55,5.06,1.9304689999999989
4,4,512,256,512,512,2,6.81,3.31,141.55,5.06,1.6731669999999994
4,4,512,256,512,512,3,6.91,3.31,139.51,4.99,1.9576549999999997
4,4,512,512,256,256,1,3.08,3.29,156.49,5.59,0.6388970000000003
4,4,512,512,256,256,2,3.08,3.29,156.49,5.59,0.6539410000000007
4,4,512,512,256,256,3,3.19,3.29,151.09,5.4,0.82431
4,4,512,512,256,512,1,6.41,3.31,150.39,5.38,1.2966080000000022
4,4,512,512,256,512,2,6.39,3.31,150.86,5.39,1.8002149999999977
4,4,512,512,256,512,3,6.5,3.31,148.31,5.3,1.6750569999999985
4,4,512,512,512,256,1,6.0,3.34,160.66,5.74,1.0872070000000007
4,4,512,512,512,256,2,6.04,3.34,159.6,5.7,1.220421999999999
4,4,512,512,512,256,3,5.93,3.34,162.56,5.81,1.006885
4,4,512,512,512,512,1,11.79,3.37,163.53,5.85,2.1829830000000006
4,4,512,512,512,512,2,11.82,3.37,163.11,5.83,2.1866980000000003
4,4,512,512,512,512,3,11.8,3.37,163.39,5.84,2.095719
4,8,256,256,256,256,1,1.44,4.92,137.74,3.0,0.6268869999999996
4,8,256,256,256,256,2,1.45,4.92,136.79,2.98,0.6270670000000003
4,8,256,256,256,256,3,1.46,4.92,135.85,2.96,0.6383220000000002
4,8,256,256,256,512,1,2.85,5.0,139.19,3.03,1.1729709999999995
4,8,256,256,256,512,2,2.83,5.0,140.17,3.05,1.1791840000000002
4,8,256,256,256,512,3,2.87,5.0,138.22,3.01,1.205344
4,8,256,256,512,256,1,2.68,5.07,148.02,3.22,1.0248090000000003
4,8,256,256,512,256,2,2.69,5.07,147.47,3.21,1.0248489999999997
4,8,256,256,512,256,3,2.69,5.07,147.47,3.21,1.0313309999999996
4,8,256,256,512,512,1,5.37,5.15,147.74,3.22,2.006785000000001
4,8,256,256,512,512,2,5.46,5.15,145.31,3.16,2.0727700000000002
4,8,256,256,512,512,3,5.46,5.15,145.31,3.16,2.074853999999999
4,8,256,512,256,256,1,2.45,5.07,161.92,3.52,0.801855
4,8,256,512,256,256,2,2.45,5.07,161.92,3.52,0.8191330000000007
4,8,256,512,256,256,3,2.46,5.07,161.26,3.51,0.8308750000000003
4,8,256,512,256,512,1,5.05,5.15,157.11,3.42,1.7630150000000009
4,8,256,512,256,512,2,5.05,5.15,157.11,3.42,1.7728319999999997
4,8,256,512,256,512,3,5.11,5.15,155.26,3.38,1.8281300000000005
4,8,256,512,512,256,1,4.43,5.23,179.09,3.9,1.1563690000000002
4,8,256,512,512,256,2,4.43,5.23,179.09,3.9,1.1697329999999995
4,8,256,512,512,256,3,4.44,5.23,178.69,3.89,1.177848999999999
4,8,256,512,512,512,1,9.07,5.31,174.95,3.81,2.3841640000000015
4,8,256,512,512,512,2,9.09,5.31,174.56,3.8,2.389856
4,8,256,512,512,512,3,9.1,5.31,174.37,3.8,2.419717000000002
4,8,512,256,256,256,1,2.87,4.93,137.95,3.0,1.2496539999999994
4,8,512,256,256,256,2,2.89,4.93,137.0,2.98,1.2571229999999995
4,8,512,256,256,256,3,2.88,4.93,137.47,2.99,1.2343560000000018
4,8,512,256,256,512,1,5.67,5.01,139.66,3.04,2.357058
4,8,512,256,256,512,2,5.66,5.01,139.9,3.05,2.3519180000000026
4,8,512,256,256,512,3,5.65,5.01,140.15,3.05,2.3460779999999986
4,8,512,256,512,256,1,5.34,5.08,148.29,3.23,2.0474029999999983
4,8,512,256,512,256,2,5.33,5.08,148.56,3.23,2.0016289999999994
4,8,512,256,512,256,3,5.33,5.08,148.56,3.23,2.034689999999999
4,8,512,256,512,512,1,10.9,5.16,145.29,3.16,4.1486920000000005
4,8,512,256,512,512,2,10.88,5.16,145.56,3.17,4.234304000000002
4,8,512,256,512,512,3,10.75,5.16,147.32,3.21,3.9831780000000006
4,8,512,512,256,256,1,4.88,5.08,162.26,3.53,1.6073459999999995
4,8,512,512,256,256,2,4.86,5.08,162.93,3.55,1.5876110000000012
4,8,512,512,256,256,3,4.88,5.08,162.26,3.53,1.6309269999999996
4,8,512,512,256,512,1,10.07,5.16,157.27,3.42,3.5271680000000014
4,8,512,512,256,512,2,10.13,5.16,156.34,3.4,3.5868920000000033
4,8,512,512,256,512,3,10.14,5.16,156.18,3.4,3.5945939999999985
4,8,512,512,512,256,1,8.84,5.24,179.15,3.9,2.387675999999999
4,8,512,512,512,256,2,8.85,5.24,178.95,3.9,2.3331869999999983
4,8,512,512,512,256,3,8.82,5.24,179.56,3.91,2.312784
4,8,512,512,512,512,1,18.17,5.32,174.32,3.79,5.135338000000002
4,8,512,512,512,512,2,18.17,5.32,174.32,3.79,4.778703
4,8,512,512,512,512,3,18.16,5.32,174.41,3.8,5.108074999999998
