num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,256,256,256,256,1,0.92,3.28,131.23,4.69,0.236563
2,256,256,256,256,2,0.92,3.28,131.23,4.69,0.24672799999999973
2,256,256,256,256,3,0.92,3.28,131.23,4.69,0.2321270000000001
2,256,256,512,256,1,1.86,3.31,129.82,4.64,0.48520699999999967
2,256,256,512,256,2,1.86,3.31,129.82,4.64,0.48663899999999977
2,256,256,512,256,3,1.87,3.31,129.13,4.62,0.5057409999999998
2,256,512,256,256,1,1.6,3.33,150.92,5.39,0.25475800000000004
2,256,512,256,256,2,1.59,3.33,151.87,5.43,0.256639
2,256,512,256,256,3,1.59,3.33,151.87,5.43,0.24805900000000006
2,256,512,512,256,1,3.19,3.36,151.39,5.41,0.4789640000000003
2,256,512,512,256,2,3.19,3.36,151.39,5.41,0.5024379999999998
2,256,512,512,256,3,3.18,3.36,151.87,5.43,0.4941519999999999
