num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,256,256,256,256,1,1.31,5.07,151.41,3.3,0.266038
2,256,256,256,256,2,1.32,5.07,150.26,3.27,0.2811479999999999
2,256,256,256,256,3,1.31,5.07,151.41,3.3,0.269277
2,256,256,512,256,1,2.69,5.15,147.47,3.21,0.5607810000000002
2,256,256,512,256,2,2.67,5.15,148.57,3.23,0.542602
2,256,256,512,256,3,2.65,5.15,149.7,3.26,0.549307
2,256,512,256,256,1,2.27,5.23,174.75,3.8,0.277074
2,256,512,256,256,2,2.28,5.23,173.99,3.79,0.274404
2,256,512,256,256,3,2.28,5.23,173.99,3.79,0.293794
2,256,512,512,256,1,4.51,5.31,175.92,3.83,0.5454829999999997
2,256,512,512,256,2,4.47,5.31,177.49,3.86,0.5332629999999999
2,256,512,512,256,3,4.49,5.31,176.7,3.85,0.5489119999999998
