num_ranks,space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,2,4,32,32,256,256,256,256,1,0.53,2.66,178.98,8.14,0.069982
2,2,4,32,32,256,256,256,256,2,0.54,2.66,175.67,7.99,0.10079800000000001
2,2,4,32,32,256,512,256,256,1,0.95,2.68,199.71,9.08,0.068726
2,2,4,32,32,256,512,256,256,2,0.95,2.68,199.71,9.08,0.07423600000000001
2,2,4,32,32,256,256,512,256,1,1.03,2.67,184.2,8.38,0.153896
2,2,4,32,32,256,256,512,256,2,1.02,2.67,186.0,8.46,0.15668800000000005
2,2,4,32,32,256,512,512,512,1,3.62,2.7,209.64,9.53,0.3565599999999999
2,2,4,32,32,256,512,512,512,2,3.62,2.7,209.64,9.53,0.28661100000000006
2,2,4,32,32,512,256,256,256,1,1.02,2.67,185.64,8.44,0.14075800000000008
2,2,4,32,32,512,256,256,256,2,1.03,2.67,183.84,8.36,0.170372
2,2,4,32,64,256,256,256,256,1,0.48,2.66,197.63,8.99,0.06951100000000003
2,2,4,32,64,256,256,256,256,2,0.48,2.66,197.63,8.99,0.06899399999999997
2,2,4,32,64,256,512,256,256,1,0.9,2.68,210.8,9.59,0.07304700000000001
2,2,4,32,64,256,512,256,256,2,0.9,2.68,210.8,9.59,0.073784
2,2,4,32,64,256,256,512,256,1,0.97,2.67,195.59,8.9,0.13668400000000006
2,2,4,32,64,256,256,512,256,2,0.97,2.67,195.59,8.9,0.14464000000000002
2,2,4,32,64,256,512,512,512,1,3.49,2.7,217.45,9.89,0.3027309999999999
2,2,4,32,64,256,512,512,512,2,3.48,2.7,218.07,9.92,0.286001
2,2,4,32,64,512,256,256,256,1,0.95,2.67,199.32,9.06,0.15867499999999993
2,2,4,32,64,512,256,256,256,2,0.96,2.67,197.24,8.97,0.148989
2,2,4,64,32,256,256,256,256,1,0.5,2.66,189.72,8.63,0.07992699999999998
2,2,4,64,32,256,256,256,256,2,0.49,2.66,193.59,8.8,0.08266899999999998
2,2,4,64,32,256,512,256,256,1,0.9,2.68,210.8,9.59,0.07778600000000001
2,2,4,64,32,256,512,256,256,2,0.9,2.68,210.8,9.59,0.073135
2,2,4,64,32,256,256,512,256,1,0.98,2.67,193.59,8.8,0.157872
2,2,4,64,32,256,256,512,256,2,0.97,2.67,195.59,8.9,0.149306
2,2,4,64,32,256,512,512,512,1,3.47,2.7,218.7,9.95,0.3140199999999999
2,2,4,64,32,256,512,512,512,2,3.46,2.7,219.33,9.97,0.307908
2,2,4,64,32,512,256,256,256,1,0.97,2.67,195.21,8.88,0.148599
2,2,4,64,32,512,256,256,256,2,0.96,2.67,197.24,8.97,0.14106000000000007
2,2,4,64,64,256,256,256,256,1,0.46,2.66,206.22,9.38,0.067938
2,2,4,64,64,256,256,256,256,2,0.47,2.66,201.83,9.18,0.07093
2,2,4,64,64,256,512,256,256,1,0.86,2.68,220.61,10.03,0.07238800000000001
2,2,4,64,64,256,512,256,256,2,0.86,2.68,220.61,10.03,0.08707300000000004
2,2,4,64,64,256,256,512,256,1,0.93,2.67,204.0,9.28,0.15979600000000002
2,2,4,64,64,256,256,512,256,2,0.92,2.67,206.22,9.38,0.14974299999999996
2,2,4,64,64,256,512,512,512,1,3.5,2.7,216.82,9.86,0.30116299999999996
2,2,4,64,64,256,512,512,512,2,3.51,2.7,216.21,9.83,0.3192489999999999
2,2,4,64,64,512,256,256,256,1,0.91,2.67,208.08,9.46,0.13600500000000004
2,2,4,64,64,512,256,256,256,2,0.92,2.67,205.82,9.36,0.14311300000000005
2,2,4,64,96,256,256,256,256,1,0.46,2.66,206.22,9.38,0.07256499999999999
2,2,4,64,96,256,256,256,256,2,0.46,2.66,206.22,9.38,0.07977099999999998
2,2,4,64,96,256,512,256,256,1,0.85,2.68,223.2,10.15,0.08111
2,2,4,64,96,256,512,256,256,2,0.85,2.68,223.2,10.15,0.085365
