num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.76,2.67,69.83,3.18
2,200,300,200,200,3,0.73,2.67,72.7,3.31
2,200,300,300,200,1,1.09,2.68,73.03,3.32
2,200,300,300,200,2,1.09,2.68,73.03,3.32
2,200,300,300,200,3,1.09,2.68,73.03,3.32
2,200,400,200,200,1,1.03,2.67,68.7,3.13
2,200,400,200,200,2,0.97,2.67,72.95,3.32
2,200,400,200,200,3,0.98,2.67,72.2,3.29
2,200,400,300,200,1,1.46,2.68,72.7,3.31
2,200,400,300,200,2,1.46,2.68,72.7,3.31
2,200,400,300,200,3,1.45,2.68,73.2,3.33
