num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,200,300,200,200,1,0.44,2.65,120.6,5.49,0.06551999999999994
2,200,300,200,200,2,0.44,2.65,120.6,5.49,0.06964300000000008
2,200,300,200,200,3,0.44,2.65,120.6,5.49,0.069906
2,200,300,300,200,1,0.65,2.66,122.46,5.57,0.09243199999999999
2,200,300,300,200,2,0.65,2.66,122.46,5.57,0.0941209999999999
2,200,300,300,200,3,0.65,2.66,122.46,5.57,0.10160800000000003
2,200,400,200,200,1,0.58,2.66,121.99,5.55,0.07894799999999998
2,200,400,200,200,2,0.56,2.66,126.35,5.75,0.065102
2,200,400,200,200,3,0.56,2.66,126.35,5.75,0.06564700000000001
2,200,400,300,200,1,0.83,2.67,127.87,5.82,0.09490699999999994
2,200,400,300,200,2,0.83,2.67,127.87,5.82,0.09844200000000002
2,200,400,300,200,3,0.83,2.67,127.87,5.82,0.09977400000000006
