num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,5000,32,32,32,1
2,5000,32,32,32,2,0.05,2.3,72.11,3.28
2,5000,32,32,32,3,0.05,2.3,72.11,3.28
2,5000,32,64,32,1,0.07,2.37,103.01,4.69
2,5000,32,64,32,2,0.07,2.37,103.01,4.69
2,5000,32,64,32,3,0.07,2.37,103.01,4.69
2,5000,64,32,32,1,0.07,2.37,103.01,4.69
2,5000,64,32,32,2,0.07,2.37,103.01,4.69
2,5000,64,32,32,3,0.07,2.37,103.01,4.69
2,5000,64,64,32,1,0.11,2.44,131.1,5.96
2,5000,64,64,32,2,0.11,2.44,131.1,5.96
2,5000,64,64,32,3,0.1,2.44,144.21,6.56
