num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,5000,32,32,32,1,0.14,2.22,32.78,1.18,0.07559600000000154
2,5000,32,32,32,2,0.14,2.22,32.78,1.18,0.07404700000000097
2,5000,32,32,32,3,0.16,2.22,28.68,1.03,0.09364700000000024
2,5000,32,64,32,1,0.18,2.35,50.99,1.83,0.1094950000000034
2,5000,32,64,32,2,0.18,2.35,50.99,1.83,0.11774800000000271
2,5000,32,64,32,3,0.18,2.35,50.99,1.83,0.11036000000000229
2,5000,64,32,32,1,0.15,2.46,61.18,2.19,0.07602900000000284
2,5000,64,32,32,2,0.15,2.46,61.18,2.19,0.08444800000000001
2,5000,64,32,32,3,0.15,2.46,61.18,2.19,0.07840400000000217
2,5000,64,64,32,1,0.25,2.61,73.42,2.63,0.13459799999999714
2,5000,64,64,32,2,0.22,2.61,83.43,2.98,0.10952100000000276
2,5000,64,64,32,3,0.22,2.61,83.43,2.98,0.10464899999999729
