num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,5000,32,32,32,1,0.17,2.17,21.21,0.97,0.1324229999999955
2,5000,32,32,32,2,0.17,2.17,21.21,0.97,0.1260099999999921
2,5000,32,32,32,3,0.17,2.17,21.21,0.97,0.12886699999999182
2,5000,32,64,32,1,0.21,2.24,34.34,1.57,0.16358700000001053
2,5000,32,64,32,2,0.2,2.24,36.06,1.64,0.1579320000000112
2,5000,32,64,32,3,0.21,2.24,34.34,1.57,0.1627280000000114
2,5000,64,32,32,1,0.18,2.3,40.06,1.83,0.1267609999999921
2,5000,64,32,32,2,0.18,2.3,40.06,1.83,0.13057299999999378
2,5000,64,32,32,3,0.26,2.3,27.74,1.27,0.21199599999999985
2,5000,64,64,32,1,0.24,2.37,60.09,2.74,0.1634480000000106
2,5000,64,64,32,2,0.24,2.37,60.09,2.74,0.17013300000001186
2,5000,64,64,32,3,0.27,2.37,53.42,2.43,0.2029710000000159
