num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,200,300,200,200,1,0.73,5.03,151.99,3.31,0.27241899999999986
2,200,300,200,200,2,0.73,5.03,151.99,3.31,0.27256400000000003
2,200,300,200,200,3,0.74,5.03,149.94,3.26,0.278242
2,200,300,300,200,1,1.05,5.09,158.51,3.45,0.38448600000000027
2,200,300,300,200,2,1.05,5.09,158.51,3.45,0.389927
2,200,300,300,200,3,1.06,5.09,157.01,3.42,0.3954650000000002
2,200,400,200,200,1,0.87,5.09,170.05,3.7,0.276168
2,200,400,200,200,2,0.85,5.09,174.05,3.79,0.27154900000000004
2,200,400,200,200,3,0.85,5.09,174.05,3.79,0.24498399999999998
2,200,400,300,200,1,1.23,5.16,180.41,3.93,0.37858200000000003
2,200,400,300,200,2,1.22,5.16,181.89,3.96,0.37536900000000023
2,200,400,300,200,3,1.24,5.16,178.96,3.9,0.37887499999999996
