num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,1.51,3.27,44.73,1.6
2,200,300,200,200,2,1.4,3.27,48.24,1.73
2,200,300,200,200,3,1.42,3.27,47.57,1.7
2,200,300,300,200,1,2.19,3.29,46.26,1.66
2,200,300,300,200,2,1.76,3.29,57.56,2.06
2,200,300,300,200,3,1.73,3.29,58.56,2.1
2,200,400,200,200,1,1.72,3.29,52.36,1.87
2,200,400,200,200,2,1.77,3.29,50.88,1.82
2,200,400,200,200,3,1.23,3.29,73.21,2.62
2,200,400,300,200,1,2.73,3.31,49.48,1.77
2,200,400,300,200,2,2.59,3.31,52.16,1.87
2,200,400,300,200,3,2.55,3.31,52.97,1.9
