num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.57,3.27,118.49,4.24
2,200,300,200,200,2,0.58,3.27,116.45,4.16
2,200,300,200,200,3,0.57,3.27,118.49,4.24
2,200,300,300,200,1,0.86,3.29,117.8,4.21
2,200,300,300,200,2,0.87,3.29,116.45,4.16
2,200,300,300,200,3,0.87,3.29,116.45,4.16
2,200,400,200,200,1,0.71,3.29,126.83,4.53
2,200,400,200,200,2,0.71,3.29,126.83,4.53
2,200,400,200,200,3,0.71,3.29,126.83,4.53
2,200,400,300,200,1,1.06,3.31,127.43,4.56
2,200,400,300,200,2,1.06,3.31,127.43,4.56
2,200,400,300,200,3,1.07,3.31,126.24,4.51
