num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,2.16,5.03,51.37,1.12
2,200,300,200,200,2,2.18,5.03,50.9,1.11
2,200,300,200,200,3,2.16,5.03,51.37,1.12
2,200,300,300,200,1,3.07,5.09,54.22,1.18
2,200,300,300,200,2,3.06,5.09,54.39,1.19
2,200,300,300,200,3,3.22,5.09,51.69,1.13
2,200,400,200,200,1,2.33,5.09,63.5,1.39
2,200,400,200,200,2,2.33,5.09,63.5,1.39
2,200,400,200,200,3,2.31,5.09,64.05,1.4
2,200,400,300,200,1,3.54,5.16,62.69,1.37
2,200,400,300,200,2,3.58,5.16,61.99,1.35
2,200,400,300,200,3,3.62,5.16,61.3,1.34
