num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.83,2.67,63.94,2.91
2,200,300,200,200,3,0.86,2.67,61.71,2.81
2,200,300,300,200,1,1.21,2.68,65.79,3.0
2,200,300,300,200,2,1.48,2.68,53.79,2.45
2,200,300,300,200,3,1.22,2.68,65.25,2.97
2,200,400,200,200,1,1.09,2.67,64.92,2.96
2,200,400,200,200,2,0.96,2.67,73.7,3.36
2,200,400,200,200,3,1.09,2.67,64.92,2.96
2,200,400,300,200,1,1.99,2.68,53.34,2.43
2,200,400,300,200,2,1.66,2.68,63.94,2.91
2,200,400,300,200,3,1.73,2.68,61.35,2.79
