num_ranks,space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,2,4,32,32,256,256,256,256,1,0.54,2.66,175.67,7.99,0.10659300000000005
2,2,4,32,32,256,256,256,256,2,0.54,2.66,175.67,7.99,0.07559699999999997
2,2,4,32,32,256,512,256,256,1,0.95,2.68,199.71,9.08,0.07286899999999999
2,2,4,32,32,256,512,256,256,2,0.97,2.68,195.59,8.9,0.077868
2,2,4,32,32,256,256,512,256,1,1.04,2.67,182.42,8.3,0.13947199999999998
2,2,4,32,32,256,256,512,256,2,1.03,2.67,184.2,8.38,0.17504900000000012
2,2,4,32,32,256,512,512,512,1,3.63,2.7,209.06,9.51,0.3540639999999999
2,2,4,32,32,256,512,512,512,2,3.64,2.7,208.48,9.48,0.28518
2,2,4,32,32,512,256,256,256,1,1.04,2.67,182.07,8.28,0.14031200000000002
2,2,4,32,32,512,256,256,256,2,1.04,2.67,182.07,8.28,0.15172200000000002
2,2,4,32,64,256,256,256,256,1,0.49,2.66,193.59,8.8,0.07139400000000001
2,2,4,32,64,256,256,256,256,2,0.49,2.66,193.59,8.8,0.088581
2,2,4,32,64,256,512,256,256,1,0.89,2.68,213.17,9.69,0.09006300000000007
2,2,4,32,64,256,512,256,256,2,0.89,2.68,213.17,9.69,0.071456
2,2,4,32,64,256,256,512,256,1,0.98,2.67,193.59,8.8,0.17226400000000003
2,2,4,32,64,256,256,512,256,2,0.98,2.67,193.59,8.8,0.17252299999999998
2,2,4,32,64,256,512,512,512,1,3.53,2.7,214.98,9.78,0.288786
2,2,4,32,64,256,512,512,512,2,3.49,2.7,217.45,9.89,0.3384820000000001
2,2,4,32,64,512,256,256,256,1,0.97,2.67,195.21,8.88,0.18089899999999995
2,2,4,32,64,512,256,256,256,2,0.97,2.67,195.21,8.88,0.179959
2,2,4,64,32,256,256,256,256,1,0.49,2.66,193.59,8.8,0.08475
