num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,2,256,256,256,256,1,0.78,2.66,121.62,5.53,0.12223900000000003
2,2,256,256,256,256,2,0.78,2.66,121.62,5.53,0.12579700000000013
2,2,256,512,256,256,1,1.43,2.68,132.67,6.04,0.13429999999999995
2,2,256,512,256,256,2,1.43,2.68,132.67,6.04,0.13539800000000007
2,2,256,256,512,256,1,1.55,2.67,122.4,5.57,0.23175200000000015
2,2,256,256,512,256,2,1.54,2.67,123.2,5.6,0.234894
2,2,256,512,512,512,1,5.63,2.7,134.79,6.13,0.445152
2,2,256,512,512,512,2,5.67,2.7,133.84,6.09,0.479791
2,2,512,256,256,256,1,1.55,2.67,122.16,5.56,0.26015499999999975
2,2,512,256,256,256,2,1.55,2.67,122.16,5.56,0.25837699999999997
2,4,256,256,256,256,1,0.91,3.28,132.67,4.74,0.22585100000000033
2,4,256,256,256,256,2,0.91,3.28,132.67,4.74,0.23084899999999992
2,4,256,512,256,256,1,1.58,3.33,152.83,5.46,0.23111400000000012
2,4,256,512,256,256,2,1.59,3.33,151.87,5.43,0.24836300000000006
2,4,256,256,512,256,1,1.83,3.31,131.95,4.72,0.4516739999999999
2,4,256,256,512,256,2,1.84,3.31,131.23,4.69,0.4672380000000001
2,4,256,512,512,512,1,6.35,3.38,152.1,5.44,0.9199380000000009
2,4,256,512,512,512,2,6.28,3.38,153.8,5.5,0.8378839999999997
2,8,256,256,256,256,1,1.35,5.07,146.92,3.2,0.4758100000000001
2,8,256,256,256,256,2,1.34,5.07,148.02,3.22,0.5049659999999999
2,8,256,512,256,256,1,2.18,5.23,181.97,3.96,0.5214319999999998
2,8,256,512,256,256,2,2.17,5.23,182.81,3.98,0.5156050000000001
2,8,256,256,512,256,1,2.73,5.15,145.31,3.16,0.9827050000000005
2,8,256,256,512,256,2,2.75,5.15,144.25,3.14,0.989921
2,8,256,512,512,512,1,9.48,5.39,167.38,3.64,2.180807
2,8,256,512,512,512,2,9.28,5.39,170.99,3.72,1.9354829999999996
2,8,512,256,256,256,1,2.68,5.08,147.73,3.22,1.006846
2,8,512,256,256,256,2,2.67,5.08,148.29,3.23,1.0015849999999997
