space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
8,32,64,64,256,256,256,256,1,2.07,5.23,95.82,2.09
8,32,64,64,256,256,256,256,2,2.08,5.23,95.36,2.08
8,32,64,64,256,512,256,256,1,4.1,5.31,96.76,2.11
8,32,64,64,256,512,256,256,2,4.09,5.31,96.99,2.11
8,32,64,64,256,256,512,256,1,4.09,5.31,96.99,2.11
8,32,64,64,256,256,512,256,2,4.09,5.31,96.99,2.11
8,32,64,64,256,512,512,512,1,16.36,5.47,96.99,2.11
8,32,64,64,256,512,512,512,2,16.23,5.47,97.77,2.13
8,32,64,64,512,256,256,256,1,4.13,5.24,95.87,2.09
8,32,64,64,512,256,256,256,2,4.12,5.24,96.1,2.09
8,32,64,128,256,256,256,256,1,1.95,5.23,101.72,2.22
8,32,64,128,256,256,256,256,2,1.95,5.23,101.72,2.22
8,32,64,128,256,512,256,256,1,3.85,5.31,103.04,2.24
8,32,64,128,256,512,256,256,2,3.85,5.31,103.04,2.24
8,32,64,128,256,256,512,256,1,3.83,5.31,103.58,2.26
8,32,64,128,256,256,512,256,2,3.81,5.31,104.12,2.27
8,32,64,128,256,512,512,512,1,15.33,5.47,103.51,2.26
8,32,64,128,256,512,512,512,2,15.41,5.47,102.97,2.24
8,32,64,128,512,256,256,256,1,3.87,5.24,102.31,2.23
8,32,64,128,512,256,256,256,2,3.88,5.24,102.04,2.22
8,32,128,64,256,256,256,256,1,1.95,5.23,101.72,2.22
8,32,128,64,256,256,256,256,2,1.94,5.23,102.24,2.23
8,32,128,64,256,512,256,256,1,3.85,5.31,103.04,2.24
8,32,128,64,256,512,256,256,2,3.83,5.31,103.58,2.26
8,32,128,64,256,256,512,256,1,3.87,5.31,102.51,2.23
8,32,128,64,256,256,512,256,2,3.85,5.31,103.04,2.24
8,32,128,64,256,512,512,512,1,16.13,5.47,98.38,2.14
8,32,128,64,256,512,512,512,2,15.84,5.47,100.18,2.18
8,32,128,64,512,256,256,256,1,3.87,5.24,102.31,2.23
8,32,128,64,512,256,256,256,2,3.88,5.24,102.04,2.22
8,32,128,128,256,256,256,256,1,2.1,5.23,94.45,2.06
8,32,128,128,256,256,256,256,2,2.1,5.23,94.45,2.06
8,32,128,128,256,512,256,256,1,3.89,5.31,101.98,2.22
8,32,128,128,256,512,256,256,2,4.09,5.31,96.99,2.11
8,32,128,128,256,256,512,256,1,4.1,5.31,96.76,2.11
8,32,128,128,256,256,512,256,2,3.87,5.31,102.51,2.23
8,32,128,128,256,512,512,512,1,15.38,5.47,103.17,2.25
8,32,128,128,256,512,512,512,2,15.64,5.47,101.46,2.21
8,32,128,128,512,256,256,256,1,3.93,5.24,100.75,2.2
8,32,128,128,512,256,256,256,2,4.15,5.24,95.4,2.08
8,32,128,256,256,256,256,256,1,1.95,5.23,101.72,2.22
8,32,128,256,256,256,256,256,2,1.95,5.23,101.72,2.22
8,32,128,256,256,512,256,256,1,3.89,5.31,101.98,2.22
8,32,128,256,256,512,256,256,2,3.97,5.31,99.92,2.18
8,32,128,256,256,256,512,256,1,3.95,5.31,100.43,2.19
8,32,128,256,256,256,512,256,2,3.95,5.31,100.43,2.19
8,32,128,256,256,512,512,512,1,15.93,5.47,99.61,2.17
8,32,128,256,256,512,512,512,2,15.72,5.47,100.94,2.2
8,32,128,256,512,256,256,256,1,4.04,5.24,98.0,2.14
8,32,128,256,512,256,256,256,2,3.89,5.24,101.78,2.22
8,32,256,128,256,256,256,256,1,2.0,5.23,99.18,2.16
8,32,256,128,256,256,256,256,2,2.0,5.23,99.18,2.16
8,32,256,128,256,512,256,256,1,3.87,5.31,102.51,2.23
8,32,256,128,256,512,256,256,2,3.87,5.31,102.51,2.23
8,32,256,128,256,256,512,256,1,3.84,5.31,103.31,2.25
8,32,256,128,256,256,512,256,2,3.88,5.31,102.24,2.23
8,32,256,128,256,512,512,512,1,15.81,5.47,100.37,2.19
8,32,256,128,256,512,512,512,2,15.73,5.47,100.88,2.2
8,32,256,128,512,256,256,256,1,3.9,5.24,101.52,2.21
8,32,256,128,512,256,256,256,2,3.93,5.24,100.75,2.2
8,32,256,256,256,256,256,256,1,1.96,5.23,101.2,2.2
8,32,256,256,256,256,256,256,2,1.95,5.23,101.72,2.22
8,32,256,256,256,512,256,256,1,3.88,5.31,102.24,2.23
8,32,256,256,256,512,256,256,2,3.98,5.31,99.67,2.17
8,32,256,256,256,256,512,256,1,3.96,5.31,100.18,2.18
8,32,256,256,256,256,512,256,2,3.96,5.31,100.18,2.18
8,32,256,256,256,512,512,512,1,16.06,5.47,98.8,2.15
8,32,256,256,256,512,512,512,2,15.56,5.47,101.98,2.22
8,32,256,256,512,256,256,256,1,3.87,5.24,102.31,2.23
8,32,256,256,512,256,256,256,2,3.97,5.24,99.73,2.17
